age,country_region,device_type,education_background,course_level,course_category,week_of_year,sessions,time_spent_hours,videos_watched,quiz_attempts,assignments_submitted,forum_posts,avg_quiz_score,attendance_rate,completion_status,final_score
16.0,2,1,2,2,1,31.0,20.0,34.2,21.0,6.0,4.0,3.0,48.4,0.828,0.0,64.3
21.0,3,1,0,2,4,24.0,13.0,10.7,9.0,11.0,5.0,3.0,71.9,0.735,0.0,58.8
20.0,1,1,2,1,0,42.0,36.0,18.6,35.0,5.0,0.0,1.0,57.5,0.861,1.0,71.1
24.0,3,1,0,2,3,14.0,25.0,9.6,29.0,7.0,3.0,2.0,75.5,0.955,1.0,81.1
17.0,2,1,1,2,4,48.0,17.0,8.6,32.0,7.0,6.0,0.0,45.3,0.931,0.0,62.8
18.0,1,1,2,0,0,8.0,12.0,8.3,14.0,9.0,3.0,2.0,77.0,0.701,0.0,64.2
28.0,2,1,0,0,3,8.0,24.0,7.9,28.0,6.0,3.0,2.0,68.0,0.87,0.0,76.8
25.0,1,1,1,2,1,7.0,8.0,18.7,16.0,4.0,6.0,1.0,64.3,0.68,0.0,70.7
23.0,1,0,0,1,1,19.0,21.0,21.8,45.0,5.0,4.0,2.0,48.7,0.78,0.0,68.0
33.0,3,1,2,2,3,36.0,25.0,19.6,32.0,9.0,2.0,0.0,71.4,0.838,1.0,77.5
16.0,2,1,3,0,1,4.0,7.0,25.3,0.0,12.0,7.0,2.0,50.0,1.0,0.0,61.1
38.0,2,1,2,0,1,45.0,28.0,14.4,42.0,8.0,5.0,1.0,70.8,0.927,0.0,70.4
28.0,0,1,1,0,1,38.0,14.0,17.3,22.0,3.0,1.0,1.0,100.0,0.971,1.0,90.0
16.0,1,0,3,1,3,15.0,11.0,15.4,13.0,7.0,5.0,1.0,74.7,0.713,1.0,74.3
16.0,2,1,3,1,1,43.0,11.0,11.1,22.0,6.0,4.0,2.0,65.3,0.805,0.0,67.5
25.0,1,0,0,0,0,37.0,23.0,32.5,37.0,5.0,2.0,0.0,60.2,0.755,1.0,72.9
23.0,3,0,2,1,4,24.0,8.0,10.4,22.0,6.0,2.0,0.0,93.1,1.0,1.0,94.6
33.0,1,0,3,2,3,8.0,38.0,16.1,54.0,9.0,3.0,1.0,92.1,0.989,1.0,96.5
29.0,0,1,0,2,4,21.0,25.0,6.7,33.0,3.0,7.0,1.0,64.8,0.804,0.0,78.1
36.0,2,0,0,2,4,32.0,13.0,12.2,11.0,4.0,5.0,1.0,71.5,0.965,1.0,81.8
24.0,0,1,0,1,4,7.0,15.0,11.9,31.0,8.0,7.0,2.0,57.1,0.964,0.0,68.9
22.0,2,1,2,2,1,37.0,19.0,14.8,37.0,10.0,5.0,3.0,60.8,0.884,0.0,68.4
27.0,1,0,2,1,1,29.0,20.0,17.8,41.0,4.0,1.0,1.0,58.2,0.788,0.0,80.0
20.0,0,2,1,2,2,5.0,22.0,9.9,25.0,6.0,3.0,1.0,75.1,0.88,1.0,80.9
31.0,1,1,0,2,2,26.0,24.0,18.3,43.0,8.0,4.0,1.0,49.1,0.947,0.0,67.0
19.0,0,2,0,2,1,13.0,18.0,12.1,32.0,6.0,3.0,1.0,58.9,1.0,0.0,63.5
23.0,0,2,0,1,1,29.0,26.0,13.9,34.0,8.0,4.0,3.5,62.4,1.0,1.0,88.1
36.0,3,1,2,1,3,15.0,19.0,8.9,29.0,5.0,7.0,1.0,86.4,0.855,0.0,65.7
35.0,2,1,2,2,1,27.0,37.0,10.7,44.0,4.0,3.0,3.0,75.5,0.91,1.0,92.3
23.0,2,1,0,1,1,46.0,46.0,20.1,68.0,10.0,5.0,2.0,67.3,1.0,1.0,81.5
25.0,2,1,2,0,4,14.0,12.0,25.1,10.0,6.0,4.0,3.0,80.3,0.645,1.0,83.4
23.0,2,1,2,2,4,27.0,27.0,11.7,26.0,5.0,2.0,2.0,85.4,0.916,0.0,78.6
26.0,2,0,1,2,4,5.0,15.0,19.4,14.0,8.0,3.0,1.0,40.2,0.724,0.0,53.7
24.0,2,1,0,2,1,12.0,23.0,25.8,31.0,4.0,9.5,0.0,52.5,0.772,0.0,73.6
16.0,4,0,3,1,4,33.0,14.0,15.4,26.0,5.0,3.0,2.0,57.9,0.989,0.0,58.7
27.0,1,0,1,2,0,45.0,10.0,10.1,14.0,8.0,0.0,2.0,78.1,0.864,1.0,86.7
20.0,2,2,2,2,0,15.0,5.0,25.0,4.0,6.0,5.0,1.0,56.7,0.795,0.0,73.7
31.0,0,1,0,2,4,4.0,10.0,11.1,0.0,8.0,5.0,1.0,57.7,0.644,0.0,53.2
22.0,2,1,0,1,1,22.0,17.0,43.0625,3.0,6.0,6.0,1.0,66.4,0.721,0.0,74.3
16.0,1,1,0,2,2,14.0,25.0,16.0,39.0,6.0,1.0,0.0,70.4,0.855,1.0,81.0
21.0,3,1,2,2,2,34.0,20.0,4.2,30.0,10.0,5.0,1.0,50.2,0.739,0.0,50.8
27.0,1,1,1,1,1,24.0,20.0,25.6,15.0,14.0,6.0,1.0,91.7,0.943,1.0,95.8
16.0,0,1,3,1,4,42.0,25.0,10.1,14.0,8.0,4.0,1.0,78.2,1.0,1.0,80.9
24.0,3,0,1,2,1,39.0,13.0,15.3,21.0,7.0,4.0,3.5,79.3,0.745,0.0,65.9
34.0,0,1,0,0,1,46.0,15.0,12.0,11.0,7.0,4.0,1.0,67.2,0.756,0.0,69.4
26.0,3,0,0,1,4,30.0,7.0,10.5,16.0,3.0,3.0,2.0,64.0,0.622,0.0,50.1
28.0,0,1,3,2,4,12.0,29.0,36.7,32.0,7.0,6.0,3.0,78.7,0.802,1.0,93.3
27.0,1,0,0,2,3,24.0,4.0,11.5,14.0,8.0,2.0,2.0,77.7,0.749,0.0,74.4
35.0,2,0,3,2,2,46.0,17.0,29.5,39.0,6.0,3.0,3.0,89.4,0.773,0.0,76.0
24.0,3,1,0,2,1,36.0,12.0,36.8,22.0,14.0,4.0,1.0,73.5,0.825,0.0,78.5
32.0,1,2,1,1,3,21.0,38.0,9.4,39.0,11.0,5.0,2.0,41.3,0.89,0.0,70.3
23.0,0,0,0,1,4,19.0,12.0,5.4,22.0,4.0,5.0,3.5,80.6,0.866,0.0,69.8
16.0,2,2,2,0,2,35.0,14.0,1.5,0.0,9.0,5.0,3.0,74.7,0.895,0.0,62.5
32.0,2,0,2,0,0,19.0,5.0,22.8,1.0,7.0,2.0,1.0,63.7,0.5135000000000001,0.0,59.5
29.0,2,1,1,1,2,35.0,46.0,19.3,51.0,8.0,2.0,2.0,51.4,1.0,1.0,87.6
34.0,3,1,3,2,2,37.0,11.0,9.7,12.0,6.0,1.0,2.0,57.7,0.625,1.0,80.6
30.0,1,0,0,2,1,26.0,16.0,11.9,25.0,6.0,9.5,1.0,63.5,0.823,0.0,70.5
27.0,3,0,0,1,0,2.0,26.0,4.8,10.0,6.0,0.0,1.0,62.3,0.937,0.0,61.4
24.0,1,1,2,1,0,31.0,12.0,16.4,18.0,8.0,4.0,1.0,72.1,0.763,0.0,80.5
25.0,0,1,0,1,4,52.0,8.0,6.1,2.0,5.0,3.0,0.0,35.9,0.774,0.0,54.7
22.0,3,0,2,2,0,41.0,20.0,43.0625,23.0,7.0,6.0,2.0,62.5,0.827,0.0,69.5
28.0,2,0,3,2,1,25.0,9.0,20.2,14.0,5.0,2.0,1.0,54.1,0.663,0.0,67.6
29.0,1,2,2,1,3,26.0,46.0,34.0,68.0,7.0,2.0,0.0,53.3,1.0,1.0,94.5
31.0,1,1,2,0,0,47.0,16.0,12.8,35.0,9.0,2.0,0.0,53.3,0.612,0.0,59.8
29.0,0,0,3,2,0,19.0,28.0,24.0,33.0,9.0,3.0,1.0,81.7,0.683,1.0,90.2
25.0,2,0,3,2,4,36.0,20.0,16.1,35.0,8.0,1.0,1.0,79.3,1.0,0.0,72.7
26.0,1,0,1,0,0,48.0,12.0,20.0,27.0,4.0,4.0,1.0,36.3,0.585,0.0,38.6
22.0,1,1,3,1,0,2.0,24.0,34.2,38.0,9.0,3.0,0.0,48.7,0.744,0.0,69.0
27.0,2,0,2,2,3,27.0,19.0,7.8,21.0,6.0,3.0,1.0,70.9,0.844,0.0,61.7
16.0,2,1,2,2,2,26.0,13.0,13.3,10.0,8.0,2.0,1.0,53.3,0.844,0.0,61.8
21.0,1,0,1,2,1,29.0,23.0,10.6,29.0,4.0,2.0,0.0,63.8,0.676,0.0,68.8
16.0,4,1,3,2,1,37.0,15.0,4.6,26.0,8.0,6.0,1.0,62.9,0.783,0.0,77.6
28.0,2,1,2,2,1,14.0,20.0,11.7,30.0,5.0,5.0,1.0,61.3,0.961,0.0,62.7
31.0,2,0,1,1,4,20.0,42.0,13.3,61.0,9.0,3.0,1.0,75.0,0.851,1.0,81.3
16.0,4,1,0,0,0,31.0,11.0,37.1,32.0,4.0,4.0,3.5,58.3,0.983,0.0,71.6
25.0,3,0,1,1,2,31.0,15.0,19.5,19.0,7.0,4.0,3.5,68.0,0.735,0.0,57.6
21.0,3,1,1,2,4,9.0,20.0,29.9,12.0,9.0,2.0,1.0,88.2,0.985,1.0,100.0
30.0,0,0,2,1,4,13.0,20.0,33.3,38.0,8.0,6.0,2.0,88.4,0.5135000000000001,1.0,97.8
23.0,2,1,2,1,1,2.0,14.0,6.3,13.0,7.0,4.0,2.0,67.5,0.854,0.0,65.1
31.0,1,0,3,1,2,22.0,10.0,16.1,25.0,7.0,6.0,1.0,48.1,0.947,0.0,78.9
30.0,1,2,0,2,1,2.0,2.0,9.0,0.0,1.0,2.0,2.0,70.2,0.767,0.0,61.0
22.0,1,1,1,2,3,48.0,11.0,8.7,7.0,6.0,1.0,1.0,39.1,0.664,0.0,44.8
28.0,4,1,0,2,1,29.0,4.0,18.0,0.0,5.0,0.0,1.0,70.5,0.769,0.0,58.9
28.0,2,1,1,1,4,41.0,23.0,15.0,24.0,11.0,5.0,0.0,79.8,0.855,1.0,89.4
24.0,0,0,3,2,3,2.0,21.0,8.8,26.0,4.0,3.0,3.0,45.8,0.691,0.0,65.3
24.0,1,0,3,1,2,22.0,17.0,14.1,16.0,6.0,4.0,1.0,57.5,0.901,1.0,78.6
20.0,3,1,0,2,4,48.0,18.0,4.0,19.0,6.0,3.0,0.0,66.9,0.739,0.0,44.5
16.0,2,1,2,2,3,1.0,18.0,28.2,29.0,4.0,4.0,1.0,84.0,0.848,0.0,83.0
27.0,2,1,2,2,1,43.0,28.0,11.9,34.0,4.0,4.0,0.0,94.2,1.0,1.0,97.9
27.0,1,1,0,2,4,4.0,23.0,41.9,25.0,10.0,3.0,1.0,76.6,0.828,1.0,84.3
25.0,4,0,2,2,4,44.0,29.0,24.6,35.0,9.0,4.0,3.5,56.4,0.828,1.0,78.8
25.0,2,0,2,1,0,31.0,23.0,8.6,48.0,7.0,4.0,0.0,75.0,0.635,0.0,65.5
17.0,1,0,3,1,2,2.0,25.0,7.6,46.0,7.0,4.0,0.0,48.9,0.808,0.0,67.2
23.0,1,0,2,0,1,3.0,21.0,10.8,15.0,8.0,5.0,3.0,100.0,0.893,0.0,77.1
25.0,2,2,3,1,1,6.0,21.0,16.1,31.0,7.0,4.0,0.0,81.8,0.745,0.0,58.5
38.0,3,0,3,0,0,16.0,2.0,13.0,0.0,5.0,1.0,1.0,55.7,1.0,0.0,57.8
25.0,2,0,0,0,1,8.0,16.0,31.6,14.0,6.0,2.0,1.0,70.9,0.905,0.0,81.5
27.0,3,1,1,2,4,48.0,8.0,12.2,19.0,2.0,3.0,1.0,63.8,0.917,0.0,66.5
34.0,3,1,2,2,4,14.0,39.0,19.8,68.0,7.0,3.0,0.0,55.1,1.0,1.0,85.6
30.0,2,0,2,1,0,39.0,15.0,22.0,19.0,9.0,3.0,0.0,59.8,0.862,1.0,80.9
16.0,2,1,1,1,4,46.0,16.0,26.6,28.0,6.0,2.0,1.0,66.4,0.932,1.0,81.7
17.0,2,1,1,2,3,6.0,22.0,16.1,27.0,7.0,3.0,0.0,57.9,0.8,0.0,81.2
26.0,1,1,2,2,3,27.0,10.0,12.7,8.0,7.0,3.0,1.0,57.4,0.896,0.0,64.4
20.0,2,0,2,0,1,44.0,5.0,43.0625,13.0,12.0,7.0,2.0,73.4,0.83,1.0,82.7
22.0,2,1,2,2,4,51.0,28.0,5.4,30.0,11.0,3.0,2.0,62.1,0.97,0.0,67.1
21.0,2,0,2,1,1,14.0,16.0,17.4,20.0,13.0,8.0,1.0,57.1,0.855,0.0,69.1
24.0,3,1,3,1,3,52.0,34.0,11.8,40.0,8.0,4.0,1.0,90.9,0.98,1.0,92.8
18.0,1,0,2,2,3,35.0,24.0,20.7,29.0,5.0,5.0,2.0,78.3,1.0,1.0,87.2
16.0,0,1,0,1,1,39.0,37.0,34.2,68.0,13.0,7.0,0.0,81.5,0.771,1.0,95.4
30.0,2,1,2,2,1,42.0,19.0,16.9,24.0,7.0,1.0,1.0,81.7,0.952,1.0,80.7
32.0,1,1,0,2,3,40.0,32.0,17.9,42.0,6.0,2.0,3.5,60.0,1.0,1.0,60.6
21.0,2,1,3,2,2,2.0,29.0,16.1,9.0,5.0,2.0,2.0,69.7,0.872,0.0,64.6
25.0,2,2,2,2,1,1.0,24.0,17.5,28.0,5.0,4.0,1.0,77.1,0.911,1.0,93.1
24.0,2,0,3,2,1,28.0,16.0,16.1,14.0,10.0,3.0,3.0,62.9,0.829,0.0,63.1
21.0,2,1,0,1,2,21.0,24.0,16.2,48.0,7.0,6.0,2.0,39.5,0.802,0.0,49.9
16.0,2,0,2,1,1,36.0,7.0,33.3,0.0,8.0,4.0,0.0,85.5,0.607,0.0,77.9
21.0,3,1,0,2,2,32.0,28.0,21.6,39.0,3.0,4.0,2.0,66.4,0.88,1.0,81.8
28.0,3,1,2,1,0,19.0,11.0,12.8,21.0,7.0,2.0,1.0,63.6,0.728,0.0,64.2
22.0,0,1,2,1,0,13.0,41.0,23.0,55.0,6.0,4.0,2.0,45.2,1.0,0.0,80.0
18.0,3,1,1,2,1,26.0,20.0,22.8,19.0,8.0,7.0,0.0,87.6,0.815,1.0,100.0
17.0,1,1,0,1,1,16.0,19.0,11.3,42.0,8.0,6.0,3.5,79.4,1.0,1.0,100.0
27.0,1,1,1,1,0,47.0,24.0,9.3,32.0,7.0,5.0,3.5,72.8,0.934,1.0,76.4
26.0,2,1,0,0,0,15.0,21.0,43.0625,24.0,11.0,5.0,1.0,61.6,0.838,1.0,87.8
28.0,1,1,3,2,0,37.0,7.0,19.6,13.0,10.0,6.0,0.0,60.6,0.785,0.0,66.8
31.0,3,0,2,1,4,46.0,17.0,20.6,33.0,4.0,3.0,3.0,47.9,0.706,0.0,62.6
23.0,2,0,2,2,0,44.0,30.0,34.1,48.0,6.0,4.0,3.0,74.1,0.755,0.0,78.3
30.0,2,1,2,2,0,17.0,18.0,27.5,18.0,10.0,6.0,3.0,78.3,1.0,1.0,88.8
16.0,3,1,2,2,4,13.0,28.0,8.5,27.0,7.0,6.0,2.0,44.2,0.621,0.0,53.7
20.0,2,1,2,2,3,36.0,11.0,29.8,9.0,9.0,9.0,1.0,87.9,0.789,1.0,91.9
19.0,4,1,0,2,0,27.0,6.0,7.5,15.0,9.0,6.0,3.0,53.6,0.994,0.0,78.7
22.0,3,1,2,2,3,33.0,23.0,24.2,35.0,9.0,5.0,1.0,61.5,1.0,1.0,80.0
24.0,2,0,2,2,2,38.0,36.0,28.2,45.0,7.0,4.0,1.0,44.8,0.866,0.0,52.3
27.0,2,0,1,2,3,49.0,35.0,21.7,57.0,9.0,8.0,1.0,59.1,1.0,0.0,67.3
21.0,3,0,0,2,1,35.0,14.0,14.1,30.0,5.0,5.0,3.5,85.9,0.983,1.0,98.3
32.0,1,1,3,1,0,29.0,6.0,8.5,14.0,4.0,3.0,0.0,90.8,0.777,1.0,83.2
32.0,3,1,0,2,1,49.0,16.0,19.6,39.0,6.0,4.0,1.0,56.3,0.897,0.0,52.5
24.0,3,0,2,2,2,26.0,21.0,16.5,22.0,6.0,2.0,2.0,63.1,0.802,1.0,81.8
24.0,2,1,1,1,0,11.0,10.0,21.9,10.0,7.0,5.0,3.0,84.3,1.0,0.0,64.6
23.0,3,1,2,2,0,17.0,21.0,7.6,39.0,8.0,3.0,3.5,65.5,0.689,0.0,63.9
16.0,2,0,3,1,1,15.0,29.0,28.9,40.0,5.0,4.0,1.0,56.9,0.748,0.0,64.3
20.0,4,1,3,1,3,42.0,13.0,17.2,20.0,10.0,4.0,1.0,90.9,0.752,0.0,83.1
24.0,3,1,2,1,0,18.0,9.0,41.1,9.0,4.0,3.0,3.5,80.0,1.0,1.0,87.5
17.0,2,0,2,1,4,51.0,24.0,8.1,44.0,8.0,4.0,2.0,61.1,1.0,0.0,63.8
18.0,4,0,2,0,1,32.0,10.0,13.7,24.0,5.0,3.0,0.0,37.5,0.779,0.0,54.3
23.0,1,2,1,1,3,8.0,21.0,41.7,29.0,5.0,6.0,0.0,90.9,0.947,1.0,100.0
18.0,1,1,2,2,0,1.0,28.0,27.8,44.0,15.0,4.0,0.0,80.1,0.859,0.0,79.6
34.0,1,1,3,1,4,38.0,23.0,12.3,29.0,4.0,9.0,3.5,51.1,0.92,0.0,62.5
19.0,1,0,0,0,0,15.0,18.0,24.0,28.0,4.0,2.0,3.0,92.4,0.799,1.0,84.2
30.0,3,0,2,2,4,30.0,17.0,26.1,40.0,4.0,5.0,3.5,61.6,0.845,0.0,68.0
35.0,1,1,3,2,4,36.0,45.0,30.1,68.0,12.0,7.0,1.0,54.1,0.907,1.0,90.7
21.0,1,1,1,1,1,25.0,13.0,20.9,24.0,4.0,2.0,2.0,84.2,0.936,0.0,74.8
34.0,1,1,2,2,1,40.0,22.0,27.8,21.0,10.0,4.0,1.0,98.6,0.806,1.0,91.1
26.0,2,1,2,2,3,43.0,13.0,13.1,1.0,8.0,2.0,2.0,48.5,0.795,0.0,60.9
27.0,1,1,1,2,1,13.0,9.0,14.6,19.0,6.0,4.0,0.0,79.3,0.703,0.0,77.1
23.0,2,1,2,2,4,1.0,10.0,32.9,12.0,5.0,5.0,0.0,49.6,0.616,0.0,64.4
25.0,1,1,0,2,4,14.0,8.0,33.5,5.0,4.0,5.0,1.0,57.5,0.741,0.0,66.8
16.0,2,1,0,1,4,4.0,27.0,16.1,39.0,4.0,4.0,2.0,69.7,0.821,1.0,77.7
32.0,2,1,2,1,1,50.0,23.0,16.1,16.0,6.0,0.0,3.0,84.7,0.926,0.0,61.9
19.0,3,0,2,2,4,23.0,26.0,15.3,36.0,9.0,5.0,3.0,43.6,0.857,0.0,51.9
25.0,2,1,0,2,0,45.0,14.0,17.1,14.0,3.0,5.0,1.0,78.5,1.0,1.0,91.8
30.0,1,1,2,1,2,39.0,9.0,19.3,14.0,7.0,9.0,1.0,63.5,0.977,0.0,81.9
27.0,1,1,2,2,0,9.0,7.0,4.8,0.0,5.0,2.0,3.0,63.1,0.814,0.0,63.3
26.0,3,1,3,0,4,2.0,46.0,26.3,68.0,13.0,4.0,1.0,67.4,0.938,1.0,99.4
22.0,0,1,2,2,2,52.0,14.0,15.4,24.0,5.0,2.0,2.0,50.2,0.97,0.0,58.1
38.0,2,1,2,2,1,35.0,18.0,11.6,22.0,4.0,3.0,3.0,59.5,0.876,0.0,67.9
27.0,2,0,1,1,3,29.0,15.0,14.7,29.0,7.0,4.0,2.0,97.5,0.814,0.0,91.1
18.0,3,0,0,1,2,7.0,4.0,10.2,17.0,7.0,0.0,2.0,57.6,0.999,0.0,59.1
23.0,1,0,3,1,4,51.0,18.0,31.6,28.0,6.0,2.0,1.0,84.1,0.95,1.0,86.2
34.0,1,2,2,1,3,13.0,9.0,17.7,11.0,5.0,3.0,2.0,59.4,0.584,0.0,59.1
32.0,0,1,0,0,4,5.0,9.0,18.6,16.0,9.0,6.0,2.0,75.8,0.923,1.0,82.8
27.0,2,0,0,1,4,44.0,22.0,17.7,40.0,7.0,4.0,2.0,55.4,1.0,0.0,83.0
21.0,1,1,2,2,3,27.0,22.0,43.0625,19.0,11.0,7.0,1.0,56.6,0.753,0.0,70.3
27.0,1,1,2,1,0,43.0,38.0,31.2,60.0,7.0,2.0,3.5,66.9,0.894,1.0,91.8
25.0,2,1,0,2,1,33.0,20.0,16.9,33.0,3.0,1.0,1.0,76.6,0.647,0.0,66.4
31.0,2,0,3,0,3,45.0,26.0,6.0,45.0,5.0,2.0,2.0,61.7,1.0,0.0,63.8
28.0,2,1,1,1,4,43.0,30.0,16.0,56.0,7.0,3.0,1.0,64.7,0.77,0.0,78.2
28.0,3,1,3,2,4,14.0,10.0,11.1,0.0,3.0,5.0,2.0,59.0,0.773,0.0,69.8
16.0,3,0,2,2,2,24.0,25.0,34.3,40.0,7.0,5.0,3.5,63.3,0.681,1.0,83.3
25.0,3,1,2,1,1,48.0,40.0,6.0,53.0,5.0,0.0,2.0,45.2,1.0,0.0,75.8
21.0,2,0,0,2,3,50.0,19.0,7.8,20.0,6.0,3.0,0.0,47.5,0.935,0.0,69.0
36.0,2,2,3,2,3,18.0,25.0,5.2,42.0,4.0,3.0,1.0,66.6,0.766,0.0,56.5
27.0,2,1,2,2,3,13.0,24.0,7.5,46.0,7.0,3.0,3.5,59.9,0.962,0.0,62.1
21.0,2,0,3,1,1,52.0,21.0,30.2,30.0,5.0,5.0,0.0,72.7,1.0,1.0,85.4
34.0,2,0,3,2,1,14.0,14.0,24.5,23.0,7.0,5.0,1.0,58.0,0.753,0.0,71.9
24.0,4,1,2,2,4,18.0,6.0,19.8,17.0,3.0,4.0,1.0,96.3,0.775,1.0,92.7
23.0,0,0,0,2,1,27.0,10.0,6.9,26.0,4.0,4.0,0.0,56.7,0.871,0.0,70.0
25.0,1,1,2,2,0,4.0,18.0,22.9,17.0,8.0,1.0,2.0,62.2,1.0,0.0,56.6
29.0,4,0,2,0,2,19.0,15.0,28.7,29.0,5.0,2.0,1.0,57.1,0.882,0.0,69.1
24.0,2,0,3,1,1,16.0,24.0,16.1,30.0,9.0,5.0,0.0,70.6,0.576,0.0,84.8
23.0,2,0,2,1,1,29.0,18.0,35.0,17.0,5.0,2.0,1.0,39.6,0.936,0.0,60.7
29.0,2,2,0,1,1,12.0,18.0,21.0,36.0,4.0,2.0,1.0,85.4,0.806,1.0,94.8
20.0,3,1,1,1,3,16.0,12.0,20.9,3.0,4.0,5.0,1.0,77.3,0.651,0.0,86.8
24.0,2,1,3,0,4,35.0,19.0,23.5,25.0,10.0,8.0,2.0,61.5,0.751,0.0,84.4
20.0,1,1,2,0,4,36.0,14.0,10.6,22.0,7.0,1.0,1.0,61.1,0.786,0.0,66.1
29.0,1,1,3,2,1,33.0,32.0,17.3,50.0,7.0,2.0,3.5,50.2,0.95,0.0,51.6
22.0,1,1,2,1,1,34.0,15.0,16.1,32.0,7.0,5.0,2.0,64.0,0.807,0.0,70.5
19.0,3,1,2,1,4,12.0,39.0,43.0625,39.0,9.0,4.0,1.0,75.2,1.0,0.0,84.1
25.0,2,1,2,1,0,29.0,17.0,8.9,2.0,3.0,4.0,0.0,43.7,0.764,0.0,49.3
19.0,2,0,3,2,4,14.0,7.0,18.2,7.0,9.0,4.0,3.5,62.3,0.74,0.0,65.2
26.0,2,0,3,2,4,6.0,34.0,14.7,57.0,8.0,5.0,1.0,79.8,1.0,1.0,95.3
22.0,2,1,0,1,3,50.0,21.0,6.8,21.0,8.0,5.0,0.0,69.7,0.758,0.0,59.3
28.0,2,1,1,1,0,27.0,20.0,12.9,27.0,10.0,0.0,2.0,65.4,0.876,0.0,80.3
28.0,2,2,1,1,0,46.0,21.0,15.6,46.0,6.0,6.0,3.5,60.0,0.991,0.0,81.3
28.0,1,2,1,0,3,47.0,9.0,12.2,8.0,12.0,8.0,3.5,73.2,1.0,1.0,92.2
16.0,3,0,0,1,1,45.0,19.0,19.3,6.0,6.0,3.0,2.0,63.3,0.803,0.0,55.1
39.0,2,0,2,1,1,9.0,8.0,5.1,14.0,4.0,4.0,3.0,52.5,0.906,0.0,62.4
16.0,0,1,3,1,4,15.0,33.0,20.5,56.0,10.0,4.0,3.0,71.9,0.812,0.0,73.6
